what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1412023161486
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1412023164845
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1412023196007
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1412023221173
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1412023271395
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1412023271409
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1412023272469
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412023363077
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412023403228
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412023448327
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412023455464
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412023538591
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412023549179
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412023562167
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412023571539
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412023615537
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412023630562
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412023672269
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412023676540
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412023715189
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412023718766
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1412023758497
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1412023759551
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1412023764596
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412023835291
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412023841662
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1412023945343
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1412023947061
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1412023980120
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1412023981344
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1412023996083
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1412023997866
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412024012411
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412024016674
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412024081501
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412024085190
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412024130823
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412024139280
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1412024141056
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412024142887
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412024294584
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412024299540
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412024306226
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAs",1412024306242
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412024315734
